Name, Age, Phone, Track
Hassan,20,09876543210,AI
David,24,12345678901,Dev
hassan majaro,20,09090200885,AI
Hassan ,20,12345678901,AI Engineering
david ,19,09876543210,Developer
hassan,60,12345678901,"AI Engineer, Data science, AI Developer"
david,20,09876543210,Engineering2
hassan,20,09887654321,AI Engineering2
ope,20,09876543221,"AI Engineering, Data Science"
david,90,12345678901,AI Engin2
Hassan,20,01234567890,AI Engineering
Sodiq,23,12345678901,Engineer
Ope,23,09012345891,"AI Engineering, Dev Ops"
Oba,45,08012345678,"AI Engineering, Civil Defense"
